,name,Wealth_History,personal_data
10,Michael Bloomberg,"[{""percent"":34.92063492063492,""worth"":""$33B"",""name"":""Billionaires"",""date"":""March 2014""},{""percent"":37.56613756613756,""worth"":""$35.5B"",""name"":""Billionaires"",""date"":""March 2015""},{""percent"":42.32804232804233,""worth"":""$40B"",""name"":""Billionaires"",""date"":""March 2016""},{""percent"":50.264550264550266,""worth"":""$47.5B"",""name"":""Billionaires"",""date"":""March 2017""},{""percent"":52.910052910052904,""worth"":""$50B"",""name"":""Billionaires"",""date"":""March 2018""},{""percent"":58.730158730158735,""worth"":""$55.5B"",""name"":""Billionaires"",""date"":""March 2019""},{""percent"":50.79365079365079,""worth"":""$48B"",""name"":""Billionaires"",""date"":""April 2020""},{""percent"":62.43386243386243,""worth"":""$59B"",""name"":""Billionaires"",""date"":""April 2021""},{""percent"":86.77248677248677,""worth"":""$82B"",""name"":""Billionaires"",""date"":""April 2022""},{""percent"":100,""worth"":""$94.5B"",""name"":""Billionaires"",""date"":""April 2023""}]","Age81Source of WealthBloomberg LP, Self MadeSelf-Made Score8ResidenceNew York, New YorkCitizenshipUnited StatesMarital StatusIn RelationshipChildren2EducationMaster of Business Administration, Harvard Business School; Bachelor of Arts/Science, Johns Hopkins University"
11,Carlos Slim Helu & family,"[{""percent"":77.41935483870968,""worth"":""$72B"",""name"":""Billionaires"",""date"":""March 2014""},{""percent"":82.9032258064516,""worth"":""$77.1B"",""name"":""Billionaires"",""date"":""March 2015""},{""percent"":53.76344086021505,""worth"":""$50B"",""name"":""Billionaires"",""date"":""March 2016""},{""percent"":58.602150537634415,""worth"":""$54.5B"",""name"":""Billionaires"",""date"":""March 2017""},{""percent"":72.15053763440861,""worth"":""$67.1B"",""name"":""Billionaires"",""date"":""March 2018""},{""percent"":68.81720430107528,""worth"":""$64B"",""name"":""Billionaires"",""date"":""March 2019""},{""percent"":56.02150537634408,""worth"":""$52.1B"",""name"":""Billionaires"",""date"":""April 2020""},{""percent"":67.52688172043011,""worth"":""$62.8B"",""name"":""Billionaires"",""date"":""April 2021""},{""percent"":87.31182795698925,""worth"":""$81.2B"",""name"":""Billionaires"",""date"":""April 2022""},{""percent"":100,""worth"":""$93B"",""name"":""Billionaires"",""date"":""April 2023""}]","Age83Source of WealthTelecom, Self MadeResidenceMexico City, MexicoCitizenshipMexicoMarital StatusWidowedChildren6EducationBachelor of Arts/Science, Universidad Nacional Autonoma de Mexico"
12,Mukesh Ambani,"[{""percent"":20.507166482910694,""worth"":""$18.6B"",""name"":""Billionaires"",""date"":""March 2014""},{""percent"":23.15325248070562,""worth"":""$21B"",""name"":""Billionaires"",""date"":""March 2015""},{""percent"":21.27894156560088,""worth"":""$19.3B"",""name"":""Billionaires"",""date"":""March 2016""},{""percent"":25.57883131201764,""worth"":""$23.2B"",""name"":""Billionaires"",""date"":""March 2017""},{""percent"":44.21168687982359,""worth"":""$40.1B"",""name"":""Billionaires"",""date"":""March 2018""},{""percent"":55.12679162072768,""worth"":""$50B"",""name"":""Billionaires"",""date"":""March 2019""},{""percent"":40.57331863285557,""worth"":""$36.8B"",""name"":""Billionaires"",""date"":""April 2020""},{""percent"":93.16427783902977,""worth"":""$84.5B"",""name"":""Billionaires"",""date"":""April 2021""},{""percent"":100,""worth"":""$90.7B"",""name"":""Billionaires"",""date"":""April 2022""},{""percent"":91.95148842337376,""worth"":""$83.4B"",""name"":""Billionaires"",""date"":""April 2023""}]","Age66Source of WealthDiversifiedResidenceMumbai, IndiaCitizenshipIndiaMarital StatusMarriedChildren3EducationDrop Out, Stanford University; Bachelor of Science in Engineering, University of Mumbai"
13,Francoise Bettencourt Meyers & family,"[{""percent"":52.422360248447205,""worth"":""$42.2B"",""name"":""Billionaires"",""date"":""March 2018""},{""percent"":61.24223602484472,""worth"":""$49.3B"",""name"":""Billionaires"",""date"":""March 2019""},{""percent"":60.745341614906835,""worth"":""$48.9B"",""name"":""Billionaires"",""date"":""April 2020""},{""percent"":91.42857142857143,""worth"":""$73.6B"",""name"":""Billionaires"",""date"":""April 2021""},{""percent"":92.9192546583851,""worth"":""$74.8B"",""name"":""Billionaires"",""date"":""April 2022""},{""percent"":100,""worth"":""$80.5B"",""name"":""Billionaires"",""date"":""April 2023""}]","Age70Source of WealthL'OréalResidenceParis, FranceCitizenshipFranceMarital StatusMarriedChildren2"
14,Amancio Ortega,"[{""percent"":82.79430789133248,""worth"":""$64B"",""name"":""Billionaires"",""date"":""March 2014""},{""percent"":83.44113842173351,""worth"":""$64.5B"",""name"":""Billionaires"",""date"":""March 2015""},{""percent"":86.67529107373868,""worth"":""$67B"",""name"":""Billionaires"",""date"":""March 2016""},{""percent"":92.23803363518758,""worth"":""$71.3B"",""name"":""Billionaires"",""date"":""March 2017""},{""percent"":90.55627425614489,""worth"":""$70B"",""name"":""Billionaires"",""date"":""March 2018""},{""percent"":81.11254851228978,""worth"":""$62.7B"",""name"":""Billionaires"",""date"":""March 2019""},{""percent"":71.28072445019404,""worth"":""$55.1B"",""name"":""Billionaires"",""date"":""April 2020""},{""percent"":99.61190168175938,""worth"":""$77B"",""name"":""Billionaires"",""date"":""April 2021""},{""percent"":77.10219922380335,""worth"":""$59.6B"",""name"":""Billionaires"",""date"":""April 2022""},{""percent"":100,""worth"":""$77.3B"",""name"":""Billionaires"",""date"":""April 2023""}]","Age87Source of WealthZara, Self MadeResidenceLa Coruna, SpainCitizenshipSpainMarital StatusMarriedChildren3"
15,Jim Walton,"[{""percent"":52.416918429003026,""worth"":""$34.7B"",""name"":""Billionaires"",""date"":""March 2014""},{""percent"":61.329305135951664,""worth"":""$40.6B"",""name"":""Billionaires"",""date"":""March 2015""},{""percent"":50.755287009063444,""worth"":""$33.6B"",""name"":""Billionaires"",""date"":""March 2016""},{""percent"":51.3595166163142,""worth"":""$34B"",""name"":""Billionaires"",""date"":""March 2017""},{""percent"":70.09063444108762,""worth"":""$46.4B"",""name"":""Billionaires"",""date"":""March 2018""},{""percent"":67.37160120845923,""worth"":""$44.6B"",""name"":""Billionaires"",""date"":""March 2019""},{""percent"":82.4773413897281,""worth"":""$54.6B"",""name"":""Billionaires"",""date"":""April 2020""},{""percent"":90.93655589123867,""worth"":""$60.2B"",""name"":""Billionaires"",""date"":""April 2021""},{""percent"":100,""worth"":""$66.2B"",""name"":""Billionaires"",""date"":""April 2022""},{""percent"":88.82175226586104,""worth"":""$58.8B"",""name"":""Billionaires"",""date"":""April 2023""}]","Age75Source of WealthWalmartSelf-Made Score2ResidenceBentonville, ArkansasCitizenshipUnited StatesMarital StatusMarriedChildren4EducationBachelor of Arts/Science, University of Arkansas"
16,Rob Walton,"[{""percent"":52.61538461538462,""worth"":""$34.2B"",""name"":""Billionaires"",""date"":""March 2014""},{""percent"":60.15384615384616,""worth"":""$39.1B"",""name"":""Billionaires"",""date"":""March 2015""},{""percent"":49.07692307692308,""worth"":""$31.9B"",""name"":""Billionaires"",""date"":""March 2016""},{""percent"":52.46153846153846,""worth"":""$34.1B"",""name"":""Billionaires"",""date"":""March 2017""},{""percent"":71.07692307692308,""worth"":""$46.2B"",""name"":""Billionaires"",""date"":""March 2018""},{""percent"":68.15384615384616,""worth"":""$44.3B"",""name"":""Billionaires"",""date"":""March 2019""},{""percent"":83.23076923076923,""worth"":""$54.1B"",""name"":""Billionaires"",""date"":""April 2020""},{""percent"":91.53846153846153,""worth"":""$59.5B"",""name"":""Billionaires"",""date"":""April 2021""},{""percent"":100,""worth"":""$65B"",""name"":""Billionaires"",""date"":""April 2022""},{""percent"":88.61538461538461,""worth"":""$57.6B"",""name"":""Billionaires"",""date"":""April 2023""}]","Age78Source of WealthWalmartSelf-Made Score4ResidenceBentonville, ArkansasCitizenshipUnited StatesMarital StatusMarriedChildren3EducationDoctor of Jurisprudence, Columbia University; Bachelor of Arts/Science, University of Arkansas"
17,Michael Dell,"[{""percent"":31.76043557168784,""worth"":""$17.5B"",""name"":""Billionaires"",""date"":""March 2014""},{""percent"":34.84573502722323,""worth"":""$19.2B"",""name"":""Billionaires"",""date"":""March 2015""},{""percent"":35.93466424682396,""worth"":""$19.8B"",""name"":""Billionaires"",""date"":""March 2016""},{""percent"":37.02359346642468,""worth"":""$20.4B"",""name"":""Billionaires"",""date"":""March 2017""},{""percent"":41.1978221415608,""worth"":""$22.7B"",""name"":""Billionaires"",""date"":""March 2018""},{""percent"":62.25045372050817,""worth"":""$34.3B"",""name"":""Billionaires"",""date"":""March 2019""},{""percent"":41.560798548094375,""worth"":""$22.9B"",""name"":""Billionaires"",""date"":""April 2020""},{""percent"":81.85117967332124,""worth"":""$45.1B"",""name"":""Billionaires"",""date"":""April 2021""},{""percent"":100,""worth"":""$55.1B"",""name"":""Billionaires"",""date"":""April 2022""},{""percent"":90.92558983666062,""worth"":""$50.1B"",""name"":""Billionaires"",""date"":""April 2023""}]","Age58Source of WealthDell Technologies, Self MadeSelf-Made Score8ResidenceAustin, TexasCitizenshipUnited StatesMarital StatusMarriedChildren4EducationDrop Out, The University of Texas at Austin"
18,Alice Walton,"[{""percent"":52.526799387442566,""worth"":""$34.3B"",""name"":""Billionaires"",""date"":""March 2014""},{""percent"":60.33690658499234,""worth"":""$39.4B"",""name"":""Billionaires"",""date"":""March 2015""},{""percent"":49.464012251148546,""worth"":""$32.3B"",""name"":""Billionaires"",""date"":""March 2016""},{""percent"":51.76110260336907,""worth"":""$33.8B"",""name"":""Billionaires"",""date"":""March 2017""},{""percent"":70.44410413476263,""worth"":""$46B"",""name"":""Billionaires"",""date"":""March 2018""},{""percent"":67.99387442572741,""worth"":""$44.4B"",""name"":""Billionaires"",""date"":""March 2019""},{""percent"":83.30781010719755,""worth"":""$54.4B"",""name"":""Billionaires"",""date"":""April 2020""},{""percent"":94.64012251148544,""worth"":""$61.8B"",""name"":""Billionaires"",""date"":""April 2021""},{""percent"":100,""worth"":""$65.3B"",""name"":""Billionaires"",""date"":""April 2022""},{""percent"":86.83001531393569,""worth"":""$56.7B"",""name"":""Billionaires"",""date"":""April 2023""}]","Age73Source of WealthWalmartSelf-Made Score1ResidenceFort Worth, TexasCitizenshipUnited StatesMarital StatusDivorcedEducationBachelor of Arts/Science, Trinity University"
19,Zhong Shanshan,"[{""percent"":2.6124818577648767,""worth"":""$1.8B"",""name"":""Billionaires"",""date"":""March 2019""},{""percent"":2.9027576197387517,""worth"":""$2B"",""name"":""Billionaires"",""date"":""April 2020""},{""percent"":100,""worth"":""$68.9B"",""name"":""Billionaires"",""date"":""April 2021""},{""percent"":95.355587808418,""worth"":""$65.7B"",""name"":""Billionaires"",""date"":""April 2022""},{""percent"":98.69375907111755,""worth"":""$68B"",""name"":""Billionaires"",""date"":""April 2023""}]","Age68Source of WealthBeverages, pharmaceuticals, Self MadeResidenceHangzhou, ChinaCitizenshipChinaChildren1"
20,Julia Koch & family,"[{""percent"":63.66666666666667,""worth"":""$38.2B"",""name"":""Billionaires"",""date"":""April 2020""},{""percent"":77.33333333333333,""worth"":""$46.4B"",""name"":""Billionaires"",""date"":""April 2021""},{""percent"":100,""worth"":""$60B"",""name"":""Billionaires"",""date"":""April 2022""},{""percent"":98.33333333333333,""worth"":""$59B"",""name"":""Billionaires"",""date"":""April 2023""}]","Age61Source of WealthKoch IndustriesSelf-Made Score1ResidenceNew York, New YorkCitizenshipUnited StatesMarital StatusWidowedChildren3EducationBachelor of Arts/Science, University of Central Arkansas"
21,Charles Koch,"[{""percent"":66.66666666666666,""worth"":""$40B"",""name"":""Billionaires"",""date"":""March 2014""},{""percent"":71.5,""worth"":""$42.9B"",""name"":""Billionaires"",""date"":""March 2015""},{""percent"":66,""worth"":""$39.6B"",""name"":""Billionaires"",""date"":""March 2016""},{""percent"":80.5,""worth"":""$48.3B"",""name"":""Billionaires"",""date"":""March 2017""},{""percent"":100,""worth"":""$60B"",""name"":""Billionaires"",""date"":""March 2018""},{""percent"":84.16666666666667,""worth"":""$50.5B"",""name"":""Billionaires"",""date"":""March 2019""},{""percent"":63.66666666666667,""worth"":""$38.2B"",""name"":""Billionaires"",""date"":""April 2020""},{""percent"":77.33333333333333,""worth"":""$46.4B"",""name"":""Billionaires"",""date"":""April 2021""},{""percent"":100,""worth"":""$60B"",""name"":""Billionaires"",""date"":""April 2022""},{""percent"":98.33333333333333,""worth"":""$59B"",""name"":""Billionaires"",""date"":""April 2023""}]","Age87Source of WealthKoch IndustriesSelf-Made Score5ResidenceWichita, KansasCitizenshipUnited StatesMarital StatusMarriedChildren2EducationBachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology"
22,David Thomson & family,"[{""percent"":41.544117647058826,""worth"":""$22.6B"",""name"":""Billionaires"",""date"":""March 2014""},{""percent"":46.875,""worth"":""$25.5B"",""name"":""Billionaires"",""date"":""March 2015""},{""percent"":43.75,""worth"":""$23.8B"",""name"":""Billionaires"",""date"":""March 2016""},{""percent"":50,""worth"":""$27.2B"",""name"":""Billionaires"",""date"":""March 2017""},{""percent"":45.955882352941174,""worth"":""$25B"",""name"":""Billionaires"",""date"":""March 2018""},{""percent"":59.74264705882353,""worth"":""$32.5B"",""name"":""Billionaires"",""date"":""March 2019""},{""percent"":58.08823529411765,""worth"":""$31.6B"",""name"":""Billionaires"",""date"":""April 2020""},{""percent"":76.83823529411765,""worth"":""$41.8B"",""name"":""Billionaires"",""date"":""April 2021""},{""percent"":90.44117647058823,""worth"":""$49.2B"",""name"":""Billionaires"",""date"":""April 2022""},{""percent"":100,""worth"":""$54.4B"",""name"":""Billionaires"",""date"":""April 2023""}]","Age66Source of WealthMediaResidenceToronto, CanadaCitizenshipCanadaMarital StatusDivorcedChildren4EducationMaster of Arts, University of Cambridge"
23,Gautam Adani,"[{""percent"":3.111111111111111,""worth"":""$2.8B"",""name"":""Billionaires"",""date"":""March 2014""},{""percent"":7.333333333333333,""worth"":""$6.6B"",""name"":""Billionaires"",""date"":""March 2015""},{""percent"":3.888888888888889,""worth"":""$3.5B"",""name"":""Billionaires"",""date"":""March 2016""},{""percent"":6.444444444444445,""worth"":""$5.8B"",""name"":""Billionaires"",""date"":""March 2017""},{""percent"":10.777777777777779,""worth"":""$9.7B"",""name"":""Billionaires"",""date"":""March 2018""},{""percent"":9.666666666666666,""worth"":""$8.7B"",""name"":""Billionaires"",""date"":""March 2019""},{""percent"":9.88888888888889,""worth"":""$8.9B"",""name"":""Billionaires"",""date"":""April 2020""},{""percent"":56.111111111111114,""worth"":""$50.5B"",""name"":""Billionaires"",""date"":""April 2021""},{""percent"":100,""worth"":""$90B"",""name"":""Billionaires"",""date"":""April 2022""},{""percent"":52.44444444444445,""worth"":""$47.2B"",""name"":""Billionaires"",""date"":""April 2023""}]","Age61Source of WealthInfrastructure, commodities, Self MadeResidenceAhmedabad, IndiaCitizenshipIndiaMarital StatusMarriedChildren2"
